"","PACE001","PACE003","PACE004","PACE005","PACE006","PACE007","PACE010","PACE011","PACE013","PACE014"
"A1BG-AS1",61.3256314654065,42.0976951003749,7.12420972631444,91.2050319163792,56.5259401647092,25.8904852519975,58.778083463109,50.302947941695,32.282288455875,27.6721358579071
"A2M",37.1181453606407,80.8125397016125,113.987355621031,78.5994583994813,49.4601976441205,29.5313347405597,20.0636727205805,16.6457027734336,120.005898390318,45.0660498257344
"AAAS",93.6022796050941,165.383802180044,40.0736797105187,212.811741138218,134.8379197679,79.6941499163048,42.1054540192464,38.5960800570824,178.254375386788,68.7850234182263
"AACS",0,35.7078663797823,105.972619678927,62.2863632599663,44.1608907536791,41.262960870371,88.7322990741165,75.5458818178911,5.61431103580435,55.3442717158142
"AAGAB",737.521409991862,627.330831451122,484.446261389382,590.237442320633,572.325144167681,544.509267956072,572.238552946134,479.981583269119,574.063303410995,323.368673310972
"AAK1",35.5043129536564,373.617044015827,106.863145894717,214.294749787265,293.817126481145,128.2388097638,38.1492368630756,26.8892121724697,292.645962741302,37.9503577479869
"AAMDC",51.6426370235002,44.3529287664664,58.7747302420942,55.6128243392556,34.1510888495118,30.3404124046846,35.3233674658107,44.8153536207829,24.562610781644,35.5784603887377
"AAMP",90.3746147911253,346.930112300411,103.301041031559,290.669695213176,294.40593835786,206.314804351855,107.100450156338,124.202551463312,514.411248655574,83.8070400268044
"AAR2",1.61383240698438,169.142524956863,36.5115748473615,109.742640029464,126.59455349388,46.9265045192455,18.6507380219481,57.4368205588809,223.168863673223,53.7630068096481
"AARS",53.2564694304846,347.681856855775,115.76840805261,275.839608722708,261.43247326178,154.53383384786,154.857642970114,213.833258704878,242.818952298538,128.873089852539
"AASDH",0,140.95210413072,26.7157864736792,14.0885821659448,57.1147520414249,46.521965687183,3.39104327671783,11.1581084525214,61.7574213938479,11.8594867962459
"AASDHPPT",222.708872163844,343.923134078956,70.3515710473551,143.110334633018,277.330393933104,165.051843481484,132.533274731722,159.688994738545,193.69373073525,158.126490616612
"AATF",30.6628157327032,301.073694423217,63.2273613210407,215.036254111788,201.373661836777,121.361649618738,92.1233423508343,36.5839621394146,267.381563080182,101.991586447715
"AATK",782.708717387424,359.709769741596,220.850501515748,500.5154190533,212.561087494375,426.788467825896,1283.22729329797,799.176652935511,548.798903749875,418.244567680939
"ABALON",69.3947935003283,90.5852189213424,323.261016331518,157.198916798963,99.5092071649568,86.1667712293042,157.966099307106,228.10100393925,105.970120800807,400.060021260029
"ABAT",367.953788792439,442.7775431093,748.042021263016,1452.60697174136,539.940490948316,476.142205337517,706.749936255941,675.52286090429,550.202481508826,655.434303605857
"ABCA3",448.645409141658,675.442482994408,688.376764805133,1271.67991655764,500.490095208363,576.872374521069,776.831497308109,785.091827511837,645.6457691175,694.96592626001
"ABCA5",6.45532962793752,159.369845737134,0,36.333711901647,87.1441577539267,16.5860921145609,1.9781085780854,6.21927356370048,72.9860434654566,6.32505962466448
"ABCA7",117.80976570986,233.04081216279,179.88629558944,331.452433061963,312.659106536048,112.866334145427,96.3621464467316,251.697659519172,395.107139144731,105.94474871313
"ABCB10",172.680067547329,121.030873413578,337.509435784147,484.202323913786,320.902472810068,396.852594253274,208.831748457873,299.256810300411,93.3379209702473,339.181322372633
"ABCB6",40.3458101746095,35.3319941021004,56.1031515947262,195.75714167418,51.8154451509834,80.0986887483673,107.100450156338,81.3993157601974,58.9502658759457,100.410321541549
"ABCB7",0,94.3439416981616,77.4757807736696,34.1091989280768,25.9077225754917,57.039975320807,3.10845633699134,4.75591507812389,67.3717324296522,17.3939139678273
"ABCB9",41.9596425815939,31.1973990475993,16.9199980999968,23.7281383847491,27.0853463289232,23.8677910916852,27.9761070329221,13.7189858022805,32.9840773353506,15.0220166085781
"ABCC1",59.7117990584221,153.355889294223,143.374720742078,160.90643842158,132.482672261037,190.133251069357,144.967100079687,279.501470745127,202.816986168432,116.22297060321
"ABCC3",16214.1741929721,15661.8460664502,22493.8016846221,30660.4623147184,14200.9648426298,9931.42832713342,12849.510736303,34035.7062565937,15556.5540913344,14792.7331971841
"ABCC4",11629.2763247294,8060.95686716643,8475.13799566682,9809.36070912017,9399.79279988977,12895.079810823,5699.21340040376,14025.5594050088,7989.16460394959,3134.85767647433
"ABCC5",1368.52988112275,988.919962581128,2217.41027731537,554.645234743509,1288.320386254,1361.27316989018,859.912057587696,1055.63022753281,1145.31945130409,2530.02384986579
"ABCD1",93.6022796050941,90.9610911990243,178.105243157861,320.329868194112,89.4994052607896,132.284198084425,179.442706726318,186.944046532408,142.463142533535,135.198149477203
"ABCD3",114.582100895891,185.680905174868,139.812615878921,112.708657327558,345.632571632128,209.955653840417,3.39104327671783,28.5354904687434,103.162965282905,13.440751702412
"ABCD4",24.2074861047657,186.808522007914,113.987355621031,126.797239493503,153.091087946087,80.0986887483673,49.7353013918615,43.9007545672975,174.74543098941,18.1845464209104
"ABCE1",62.9394638723908,198.460562616053,37.4021010631508,61.5448589354429,161.923266096823,53.3991258322448,7.34726043288863,17.7432216376161,110.882642957136,6.32505962466448
"ABCF1",82.3054527562034,378.503383625692,287.639967699946,371.493666586228,210.794651864228,190.537789901419,177.74718508796,186.761126721711,362.123061809381,229.283411394088
"ABCF2",0,130.051808077944,0,109.742640029464,115.995939712997,46.521965687183,3.9562171561708,24.6941744441048,277.908396272315,30.8346656702394
"ABCF3",11.2968268488907,148.84542196204,65.0084137526193,51.9053027166386,130.71623663089,48.5446598474953,9.32536901097403,31.6451272505936,190.886575217348,7.9063245308306
"ABHD10",32.2766481396876,145.462571462903,109.534724542085,103.810605433277,144.847721672067,118.934416626364,74.3203651480657,96.7645798587515,76.4949878628343,94.0852619168842
"ABHD11",214.639710128923,154.859378404951,300.107334720996,255.077487636052,127.183365370596,168.692692970046,144.401926200234,346.81596108165,287.031651705497,286.208948016068
"ABHD12",264.668514745438,277.393740929256,551.23572757358,447.868612012138,335.622769727961,252.836770039038,499.613709436427,573.819446156718,386.685672591025,322.578040857889
"ABHD12B",19.3659888838126,13.1555297188672,6.23368351052514,5.19053027166386,11.1874256575987,7.68623780918676,21.1940204794864,7.31679242788291,30.8787106969239,6.32505962466448
"ABHD13",93.6022796050941,137.569253631582,158.513666410496,143.110334633018,241.412869453446,105.18009633624,139.88053516461,145.421249504173,224.572441432174,116.22297060321
"ABHD14A",0,121.782617968942,267.157864736792,126.797239493503,120.117622850007,95.4711643667408,103.70940687962,236.881154852709,52.6341659606658,151.010798538865
"ABHD14B",329.221811024814,914.121379322426,1902.16399692596,1814.46108210878,1245.33711925375,1323.24651967631,1623.46196872866,2520.26915178427,1162.86417329098,1173.29856037526
"ABHD16A",183.976894396219,221.764643832332,276.953653110474,292.152703862223,239.646433823298,158.174683336422,319.323241890929,286.635343362313,272.995874115987,290.952742734566
"ABHD17A",2070.54697816096,2275.15489680865,3370.64172676252,4107.19245353516,1725.80761065378,2324.07559019884,3892.63509473234,4158.13313676586,2569.24908775997,1749.66961867281
