"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","short_ensembl","symbol"
"ENSG00000163534.15",208.501294021732,4.57813208705702,0.699026352103383,6.54929828221974,5.78080660982908e-11,4.63714072106099e-07,"ENSG00000163534.15","ENSG00000163534","FCRL1"
"ENSG00000154162.15",71.8264534238924,-5.18831608764946,0.78106891362585,-6.64258428051431,3.0823030440069e-11,4.63714072106099e-07,"ENSG00000154162.15","ENSG00000154162","CDH12"
"ENSG00000177455.15",303.589473843999,4.61474924159046,0.705091363062874,6.54489543247881,5.95370288589530e-11,4.63714072106099e-07,"ENSG00000177455.15","ENSG00000177455","CD19"
"ENSG00000117322.19",190.879838771111,4.51184255013887,0.721139184804728,6.25654886769272,3.93589815027933e-10,2.29915490448567e-06,"ENSG00000117322.19","ENSG00000117322","CR2"
"ENSG00000241149.4",5.82500341555608,-5.68319938927327,0.925434060722266,-6.14111759063391,8.19428928959755e-10,3.82935527081473e-06,"ENSG00000241149.4","ENSG00000241149","ZNF722"
"ENSG00000196092.14",77.5116063213679,4.1526591733966,0.688559275656272,6.0309392672674,1.63009444664609e-09,6.34813114005543e-06,"ENSG00000196092.14","ENSG00000196092","PAX5"
"ENSG00000188219.16",452.082679371716,-3.21522102339275,0.565079453864613,-5.68985653504769,1.27146150008331e-08,4.2441384872781e-05,"ENSG00000188219.16","ENSG00000188219","POTEE"
"ENSG00000204434.6",108.889234922344,-4.05337559868643,0.716377063298489,-5.65815937772079,1.53005018979252e-08,4.46889409183649e-05,"ENSG00000204434.6","ENSG00000204434",NA
"ENSG00000211640.4",62.9679375522416,3.34447800870524,0.598615588434022,5.58702124255466,2.30997478247438e-08,5.99720786303293e-05,"ENSG00000211640.4","ENSG00000211640","IGLV6-57"
"ENSG00000211663.2",978.570983171993,4.15960470223167,0.7510620666392,5.53829688249971,3.05427199065372e-08,7.13661193336148e-05,"ENSG00000211663.2","ENSG00000211663","IGLV3-19"
"ENSG00000146938.16",1425.57558929187,-2.7260432384935,0.498251549595224,-5.47121878639036,4.46951114269565e-08,9.49405430547513e-05,"ENSG00000146938.16","ENSG00000146938","NLGN4X"
"ENSG00000012124.17",645.136373486127,2.3840075999491,0.438339794685518,5.43872043755343,5.3664583611032e-08,0.000104493888387948,"ENSG00000012124.17","ENSG00000012124","CD22"
"ENSG00000170927.15",1038.00055211981,-3.74992906357528,0.69227320379592,-5.41683405195148,6.06635959525824e-08,0.00010903581407908,"ENSG00000170927.15","ENSG00000170927","PKHD1"
"ENSG00000211945.2",2800.98163777102,3.96082522721471,0.735268592001979,5.38690931490794,7.16795767801728e-08,0.000119633213646108,"ENSG00000211945.2","ENSG00000211945","IGHV1-18"
"ENSG00000125571.10",36.0456366091537,-3.52353708387258,0.660408567879511,-5.33538971970974,9.53395604241229e-08,0.000148513611258004,"ENSG00000125571.10","ENSG00000125571","IL37"
"ENSG00000091128.13",366.447223465782,-3.25495618777132,0.620214194573036,-5.24811624153825,1.53662334538744e-07,0.000220822164009394,"ENSG00000091128.13","ENSG00000091128","LAMB4"
"ENSG00000261150.3",1242.45079215456,-3.6510384903003,0.69677578140583,-5.23990441076163,1.60659795778469e-07,0.000220822164009394,"ENSG00000261150.3","ENSG00000261150","EPPK1"
"ENSG00000229586.2",10.1357388464449,-2.88990370904779,0.554799816935876,-5.20891251372169,1.89950644877914e-07,0.000246577042678741,"ENSG00000229586.2","ENSG00000229586","TNPO1P3"
"ENSG00000172867.4",9104.09896929287,-5.18924031944998,1.00227225264357,-5.17747578640731,2.24908122917756e-07,0.00027658964211033,"ENSG00000172867.4","ENSG00000172867","KRT2"
"ENSG00000108379.11",43.0749926088716,-3.13103583730304,0.609530217399467,-5.13680166778518,2.79453605654441e-07,0.000326485647486084,"ENSG00000108379.11","ENSG00000108379","WNT3"
"ENSG00000158315.11",66.0946013402383,-2.15601920192977,0.420805897071125,-5.12354797529217,2.99839309258859e-07,0.000333621204768691,"ENSG00000158315.11","ENSG00000158315","RHBDL2"
"ENSG00000170465.10",2552.886801082,-5.86024032778231,1.15148065105248,-5.08930855453448,3.59371461032767e-07,0.000381685161749619,"ENSG00000170465.10","ENSG00000170465","KRT6C"
"ENSG00000178222.14",109.276076853879,-2.56514125980422,0.506393744125922,-5.06550740320039,4.07313947339752e-07,0.000389539640847562,"ENSG00000178222.14","ENSG00000178222","RNF212"
"ENSG00000129151.9",100.839248863481,-4.09549880010138,0.808430619849608,-5.06598673967009,4.06290199486399e-07,0.000389539640847562,"ENSG00000129151.9","ENSG00000129151","BBOX1"
"ENSG00000070019.5",38.8371688303253,-3.50956574864355,0.693435304994588,-5.06112931280726,4.16780408336431e-07,0.000389539640847562,"ENSG00000070019.5","ENSG00000070019","GUCY2C"
"ENSG00000133063.16",589.721893901196,3.90984530587793,0.776197938715251,5.03717558481209,4.72451357568673e-07,0.000424588400805754,"ENSG00000133063.16","ENSG00000133063","CHIT1"
"ENSG00000204959.4",2309.60748443946,-2.72192699637415,0.545292313622864,-4.99168414513303,5.98550795432105e-07,0.00051799029207654,"ENSG00000204959.4","ENSG00000204959",NA
"ENSG00000163141.20",227.766917268304,-2.53467236611964,0.516525926786357,-4.90715419047692,9.24073854951179e-07,0.000754688288041669,"ENSG00000163141.20","ENSG00000163141","BNIPL"
"ENSG00000110723.12",567.26367562899,-2.27664385462008,0.464194936856356,-4.90449954072761,9.36658407652503e-07,0.000754688288041669,"ENSG00000110723.12","ENSG00000110723","EXPH5"
"ENSG00000163701.19",118.087889815059,-2.01842130630463,0.418308245289772,-4.82520086331652,1.3986223907112e-06,0.0010666340843483,"ENSG00000163701.19","ENSG00000163701","IL17RE"
"ENSG00000211639.2",8.23287745464868,4.05778072491025,0.841363383518017,4.82286346708284,1.41511840344079e-06,0.0010666340843483,"ENSG00000211639.2","ENSG00000211639","IGLV4-60"
"ENSG00000169495.5",180.059696658818,2.08886340357425,0.436921013310531,4.78087191949644,1.74536538984706e-06,0.00127444399059895,"ENSG00000169495.5","ENSG00000169495","HTRA4"
"ENSG00000188000.6",9.31949797536872,3.19683784343571,0.674063796417519,4.74263394715175,2.10957253129091e-06,0.00145970151715676,"ENSG00000188000.6","ENSG00000188000","OR7D2"
"ENSG00000101213.7",64.4138119091596,-2.26992390212411,0.478760485907195,-4.74125156302921,2.12402001126979e-06,0.00145970151715676,"ENSG00000101213.7","ENSG00000101213","PTK6"
"ENSG00000187017.18",101.965547867238,-2.93064184183486,0.620306714562846,-4.72450446373162,2.30677149081882e-06,0.00154000064727064,"ENSG00000187017.18","ENSG00000187017","ESPN"
"ENSG00000198483.13",170.098916092375,-2.2698668943759,0.483067891035919,-4.69885690292571,2.61621675119995e-06,0.001608697910751,"ENSG00000198483.13","ENSG00000198483","ANKRD35"
"ENSG00000155066.16",268.271489361388,-2.44143022043104,0.519395666671379,-4.70052096521576,2.5949861121732e-06,0.001608697910751,"ENSG00000155066.16","ENSG00000155066","PROM2"
"ENSG00000186395.9",32854.8693712792,-3.41813774775795,0.72620286051801,-4.70686351375668,2.51557209135161e-06,0.001608697910751,"ENSG00000186395.9","ENSG00000186395","KRT10"
"ENSG00000174564.13",211.418869498178,-2.26812144010089,0.484827047299992,-4.67820731688153,2.89393873648172e-06,0.00169049431291579,"ENSG00000174564.13","ENSG00000174564","IL20RB"
"ENSG00000150967.19",167.260401343038,-0.926133701187389,0.197799333795629,-4.68218817230342,2.83828750144344e-06,0.00169049431291579,"ENSG00000150967.19","ENSG00000150967","ABCB9"
"ENSG00000288784.1",415.471480342178,-2.71777713405904,0.582658948156942,-4.66443902158522,3.09460077403896e-06,0.00176362052893157,"ENSG00000288784.1","ENSG00000288784","CTAGE4"
"ENSG00000196604.13",158.137623576582,-2.9983999394492,0.644181267307183,-4.65459039500351,3.24625396273164e-06,0.00180599928793303,"ENSG00000196604.13","ENSG00000196604","POTEF"
"ENSG00000182111.9",59.4779701136766,-4.99351183696772,1.07499065509254,-4.64516767035325,3.39800363509176e-06,0.00182814004517836,"ENSG00000182111.9","ENSG00000182111","ZNF716"
"ENSG00000278196.3",2289.34082261895,3.19137297602894,0.688116909792194,4.63783541810172,3.52076958114466e-06,0.00182814004517836,"ENSG00000278196.3","ENSG00000278196","IGLV2-8"
"ENSG00000282815.2",116.004269008365,-4.98689498643238,1.07483575360356,-4.63968096494092,3.48947456172536e-06,0.00182814004517836,"ENSG00000282815.2","ENSG00000282815","TEX13C"
"ENSG00000116031.9",71.7390737852719,-2.30205860591225,0.499722069667367,-4.60667788285713,4.09153062958475e-06,0.00195047156473135,"ENSG00000116031.9","ENSG00000116031","CD207"
"ENSG00000115457.10",410.941748569814,-2.26807713982931,0.493230408268932,-4.59841303740675,4.25721346406311e-06,0.00195047156473135,"ENSG00000115457.10","ENSG00000115457","IGFBP2"
"ENSG00000158220.14",202.82201888665,-2.42156346919335,0.525151861727752,-4.61116801762141,4.0041272854124e-06,0.00195047156473135,"ENSG00000158220.14","ENSG00000158220","ESYT3"
"ENSG00000211966.2",1884.7446181271,3.38462232815835,0.735032671307606,4.60472365417061,4.13013935194899e-06,0.00195047156473135,"ENSG00000211966.2","ENSG00000211966","IGHV5-51"
"ENSG00000186832.9",3296.65674623994,-4.39831241778217,0.952757824551907,-4.61640125584982,3.9045167168998e-06,0.00195047156473135,"ENSG00000186832.9","ENSG00000186832","KRT16"
"ENSG00000130055.14",51.3075525076192,-3.37644736798385,0.734094232334086,-4.59947404469898,4.23558958889381e-06,0.00195047156473135,"ENSG00000130055.14","ENSG00000130055","GDPD2"
"ENSG00000221878.13",27.2456304678318,-5.58945182252524,1.21880508079763,-4.5860096176062,4.51797797899445e-06,0.00203013602802277,"ENSG00000221878.13","ENSG00000221878","PSG7"
"ENSG00000106069.26",461.940626000807,1.21758220707081,0.266717325224637,4.56506605277827,4.99337092198629e-06,0.00220141707477607,"ENSG00000106069.26","ENSG00000106069","CHN2"
"ENSG00000118515.12",7653.60211292939,1.26096770506044,0.277068441654733,4.55110548689549,5.33647831081658e-06,0.00230911392982482,"ENSG00000118515.12","ENSG00000118515","SGK1"
"ENSG00000148600.15",1521.77684777516,-3.29301110159724,0.726082776866247,-4.53531085781953,5.7518704773396e-06,0.00239996795666995,"ENSG00000148600.15","ENSG00000148600","CDHR1"
"ENSG00000211946.3",856.427681961471,3.33146744893733,0.733965234012894,4.53899898054137,5.65219093073349e-06,0.00239996795666995,"ENSG00000211946.3","ENSG00000211946","IGHV3-20"
"ENSG00000118898.16",1190.2870430257,-2.6101668512995,0.577278625041139,-4.52150268185227,6.14021819112803e-06,0.00251705856585785,"ENSG00000118898.16","ENSG00000118898","PPL"
"ENSG00000169594.14",128.530270954977,-2.62880446549762,0.582342880222431,-4.51418666695732,6.35602163469625e-06,0.00256060002614332,"ENSG00000169594.14","ENSG00000169594","BNC1"
"ENSG00000171476.23",108.824120374048,-2.90477882826534,0.646028380479336,-4.49636411655796,6.91253208398224e-06,0.00268532471938045,"ENSG00000171476.23","ENSG00000171476","HOPX"
"ENSG00000110675.13",72.9892029152796,-2.58477582367119,0.575241797487397,-4.49337276074384,7.01039150398902e-06,0.00268532471938045,"ENSG00000110675.13","ENSG00000110675","ELMOD1"
"ENSG00000275832.5",1031.02537297026,-1.0271446922347,0.228497729037351,-4.49520744281359,6.95021563972923e-06,0.00268532471938045,"ENSG00000275832.5","ENSG00000275832","ARHGAP23"
"ENSG00000163472.19",189.208158249239,-1.49918653402719,0.334113006835142,-4.48706426675247,7.22112974662822e-06,0.00269632652704495,"ENSG00000163472.19","ENSG00000163472","TMEM79"
"ENSG00000115523.17",164.332214078214,2.27513926189179,0.5072309560765,4.48541090530101,7.27735511241156e-06,0.00269632652704495,"ENSG00000115523.17","ENSG00000115523","GNLY"
"ENSG00000189064.9",20.239182984182,-3.9788081205377,0.887676897992734,-4.48227066575103,7.38529905550272e-06,0.00269632652704495,"ENSG00000189064.9","ENSG00000189064","GAGE2E"
"ENSG00000188112.10",455.828109079408,-2.31560129014608,0.517657969279399,-4.47322639187704,7.704812714979e-06,0.0027697023676646,"ENSG00000188112.10","ENSG00000188112","C6orf132"
"ENSG00000157470.12",195.335608534172,1.89697443177904,0.425703277514704,4.45609543542571,8.34658870212053e-06,0.00295494532748103,"ENSG00000157470.12","ENSG00000157470","FAM81A"
"ENSG00000132704.16",129.936029304741,3.14126231294142,0.706704270212641,4.44494599133559,8.79139501931539e-06,0.00297887972500334,"ENSG00000132704.16","ENSG00000132704","FCRL2"
"ENSG00000068078.20",246.897481907587,-3.25733126730728,0.73300776054177,-4.44378824161393,8.8388603206364e-06,0.00297887972500334,"ENSG00000068078.20","ENSG00000068078","FGFR3"
"ENSG00000183117.20",388.780695522956,-3.32634173911227,0.747306307843339,-4.45110887490273,8.54280135586252e-06,0.00297887972500334,"ENSG00000183117.20","ENSG00000183117","CSMD1"
"ENSG00000105131.8",62.6877127877324,-2.41145913038842,0.542910759290198,-4.44172285983274,8.92414537148993e-06,0.00297887972500334,"ENSG00000105131.8","ENSG00000105131","EPHX3"
"ENSG00000248347.3",25.518279238277,4.50954054708165,1.01695172605717,4.43437031624461,9.23417841354005e-06,0.00303895511001094,"ENSG00000248347.3","ENSG00000248347",NA
"ENSG00000035720.8",77.5499264812409,2.74550040466846,0.621428691709508,4.41804577306493,9.95973313293095e-06,0.00323221006088979,"ENSG00000035720.8","ENSG00000035720","STAP1"
"ENSG00000147697.9",263.63313071822,-2.38599572916131,0.542957258083375,-4.39444485480093,1.11056189749641e-05,0.00355471086258918,"ENSG00000147697.9","ENSG00000147697","GSDMC"
"ENSG00000142632.17",96.8243341336659,-1.24973482610403,0.286190612237494,-4.36679182567646,1.26084792687326e-05,0.0039812125215298,"ENSG00000142632.17","ENSG00000142632","ARHGEF19"
"ENSG00000184792.16",138.901856089413,-1.70862027498822,0.392181025560247,-4.35671326155411,1.32030048057265e-05,0.00411335213720806,"ENSG00000184792.16","ENSG00000184792","OSBP2"
"ENSG00000140279.13",126.471971441555,-2.00796841724125,0.461395091201506,-4.35195010855524,1.34931971082254e-05,0.00414844794251046,"ENSG00000140279.13","ENSG00000140279","DUOX2"
"ENSG00000130762.15",40.7059540586613,-2.12596886744741,0.489334179695649,-4.34461551157065,1.39519813842488e-05,0.00416039497378061,"ENSG00000130762.15","ENSG00000130762","ARHGEF16"
"ENSG00000182334.3",35.152251034806,-3.99320752347062,0.919495373986565,-4.34282502820831,1.40662159945505e-05,0.00416039497378061,"ENSG00000182334.3","ENSG00000182334","OR5P3"
"ENSG00000111319.13",271.036065956238,-2.5412146026328,0.584960183724927,-4.34425226423237,1.39750851378142e-05,0.00416039497378061,"ENSG00000111319.13","ENSG00000111319","SCNN1A"
"ENSG00000137857.18",759.663123555914,-2.79197003732593,0.643675084637723,-4.33754560951714,1.44082641780606e-05,0.00420829375980705,"ENSG00000137857.18","ENSG00000137857","DUOX1"
"ENSG00000134317.18",510.623231138294,-2.04407560861044,0.471974139500745,-4.33090594915363,1.48497103685816e-05,0.00428368311694171,"ENSG00000134317.18","ENSG00000134317","GRHL1"
"ENSG00000233695.2",131.597219645596,-2.43724966139687,0.564110299753314,-4.32051969705691,1.55662160077966e-05,0.0044356122346119,"ENSG00000233695.2","ENSG00000233695",NA
"ENSG00000102010.15",190.636879289131,2.07929354122884,0.481873647387734,4.31501816399552,1.59589780659043e-05,0.00449274074081831,"ENSG00000102010.15","ENSG00000102010","BMX"
"ENSG00000143412.10",37.9887266570534,-1.94376672666278,0.45088902492363,-4.31096482552888,1.62543762705228e-05,0.00452142566591709,"ENSG00000143412.10","ENSG00000143412","ANXA9"
"ENSG00000067715.15",42.1790495571591,-2.11522851977724,0.492100245543687,-4.29836916143024,1.72059419932343e-05,0.00472981224251662,"ENSG00000067715.15","ENSG00000067715","SYT1"
"ENSG00000244073.1",9.58625508482729,1.67146744190224,0.389426020750921,4.29213086141288,1.76966596283093e-05,0.00475287527442614,"ENSG00000244073.1","ENSG00000244073","RPS4XP6"
"ENSG00000124466.9",354.406393005394,-3.00505083091821,0.699905785690042,-4.29350762968121,1.75872267954447e-05,0.00475287527442614,"ENSG00000124466.9","ENSG00000124466","LYPD3"
"ENSG00000204421.3",109.403450525832,-3.4251292291217,0.79874620916721,-4.28813206223891,1.80181960845512e-05,0.0047631328485931,"ENSG00000204421.3","ENSG00000204421","LY6G6C"
"ENSG00000165272.16",795.406857277359,-2.43223622329912,0.568058884334476,-4.28166214872014,1.85502477626454e-05,0.0047631328485931,"ENSG00000165272.16","ENSG00000165272","AQP3"
"ENSG00000110400.11",1189.20756285547,-1.5958214984414,0.372420182688194,-4.28500272708768,1.82736946641814e-05,0.0047631328485931,"ENSG00000110400.11","ENSG00000110400","NECTIN1"
"ENSG00000124429.18",585.219769640909,-3.54074184461682,0.826809248945487,-4.28241683209601,1.84874241166867e-05,0.0047631328485931,"ENSG00000124429.18","ENSG00000124429","POF1B"
"ENSG00000142677.4",47.8868319708792,-3.20473563484241,0.748969312878252,-4.27886106912281,1.87852065347009e-05,0.00477103408575893,"ENSG00000142677.4","ENSG00000142677","IL22RA1"
